act	v.表演：举动：起作用 n.行为，法令：一幕
broad	a.宽的，广阔的：广大的：宽宏的，豁达的
brook	n.小溪vt.［常用于否定句或疑问句］容思
broom	n.扫帚
brown	m.／a.褐色（的），棕色（的）
brush	n.刷（子），毛刷：画笔x.刷，擦，押，拂；掠过
build	vt.建造，建筑；建设，建立vi.增大，增强
bully	n.恃强欺弱者，小流氓 vt.威胁，欺侮
bunch	n.（一）簇，束，捆，串
burst	v.爆裂，炸破：突然发生 n.突然破裂，爆发
cabin	n.客舱，机舱；小（木）屋
cable	n.电报：电缆：缆，索，钢丝绳v.拍电报
camel	n.骆驼
canal	n.运河：（沟）果
candy	n.糖果
canoe	n.独木舟，小游艇
cargo	n.船货，货物
carry	v.运送，搬运：传送，传播：领，带
carve	v.（雕）刻
catch	v.捕捉，捕获：赶上；感染：理解，听到
cater	vi.（for／to）满足，迎合；（for）提供饮食及服务
cause	n.原因；事业，事件，奋斗目标v.使产生，引起
cease	v.／n.停止，中止
chain	n.链（条）：（pl.）镣铐；一连串 v.用链条拴住
chair	n.椅子：（会议的）主席 vt.当一的主席，主持
chalk	n.粉笔，白至
chaos	n.混乱，紊乱
charm	n.吸引力，魅力v.迷人，（使）陶醉：施魔法于
chart	n.图表：航海图：航行图 vt.绘图表，制图表
chase	v.／n.追逐，追求
cheap	a.便宜的：低劣的，不值钱的
cheat	v.欺骗：作弊 n.骗子：欺诈，欺骗行为
cheek	n.面颊，脸
cheer	v.（使）振奋，（使）高兴v.／n.喝彩，欢呼
chess	n.棋，国际象棋
chest	n.胸腔，胸膛；箱，柜
chief	a.主要的，首要的n.首领，领袖
child	n.（［pl.］children）小孩，儿童，儿女
chill	n.寒冷，寒气，寒战v.使寒冷
china	n.瓷器
choke	v.窒息，噎住：闷塞，堵塞，阻塞
cigar	n.雪茄烟
civil	a.公民的，市民的：民间的：民用的：有礼貌的
claim	v.要求：声称：索赔 n.要求：断言：索赔：权利
clash	v.／n.碰撞 n.碰撞声
clasp	n.扣子，钩子：握手 v.扣住，钩住：紧握，紧抱
class	n.班级，年级：种类，等级，阶级：（一节）课
clean	a.清洁的，干净的v.除去..污垢，把...弄干净
clear	a.／ad.清晰的（地）vt.清除：使清楚 vi.变清澈
clerk	n.职员，办事员：店员
click	n.滴答声：vi.发出滴答声
cliff	n.悬崖；峭壁
climb	v.／n.攀登，爬
cling	v.（to）粘住：依附：坚持
cloak	n.斗蓬，披风：掩饰，幌子vt.掩盖，掩饰
clock	n.钟vt.记录（时间、速度等），为···计时
clone	n.无性繁殖，克隆；复制品v.克隆
close	v.／n.关：结束 a.／ad.近的（地）；紧密的（地）
cloth	n.（一块）布，织物，衣料
cloud	n.云（状物）：遮暗物.阴影：一大群
coach	n.长途公共汽车：教练 vt.训练，指导，培训
coast	n.海岸，海滨
color	n.（＝colour）颜色：颜料：肤色v.给···若色
comic	a.喜剧的，滑稽的n.连环漫画杂志：喜剧演员
couch	n.长沙发：（病人躺的）长榻vt.表达
cough	v.／n.咳嗽
could	v.aux.（口语）（表示许可或请求）可以....行
count	v.数，计算；算入：看作，认为n.计数，总数
court	n.法院，法庭；宫廷，朝廷；院子：球场
cover	v.覆盖，包括，涉及n.盖子，套子；（书的）封面
crack	n.裂纹，缝隙：破裂声v.（使）破裂，砸开
craft	n.工艺，手艺，技巧：飞机，飞船
crane	n.起重机，鹤
crash	v.／n.碰撞，坠落，摔坏 n.失败，瓦解：爆裂声
crawl	v.／n.爬行，蠕动：缓慢（的）行进
crazy	a.疯狂的，古怪的，蠢的；（about）狂热的
cream	n.乳脂。（鲜）奶油；奶油色
creep	v.爬，爬行；（植物）蔓延
crime	n.罪行，犯罪
crisp	a.脆的，易碎的；简明扼要的：（空气）清爽的
cross	n.十字（架）：苦难 a.交叉的：发怒的v.穿过
crowd	n.人群：一群，一伙v.聚集，群集：挤满，拥挤
crown	n.王冠，冕；君权，君王v.为···加冕
crude	a.天然的，未加工的：未熟的：粗鲁的，粗野的
cruel	a.残忍的，残酷的
crush	n.／v.压碎，压坏 v.压服，压垮
crust	n.外皮，壳：地壳
curse	n.诅咒，咒语，祸因 vt.诅咒，咒骂，使受罪
curve	n.曲线，弯曲（物）v.弄弯，成曲形
cycle	n.自行车；周期，循环 v.骑自行车；循环
daily	a.每日的ad.每日，天天n.日报
dairy	n.牛奶场，奶店
dance	n.舞（蹈）：舞曲，舞会 v.跳舞；跳动
death	n.死，死亡：灭亡，毁灭，死因
decay	v.／n.腐朽，腐烂；衰减，衰退
delay	v.／n.耽搁，延迟
dense	a.浓厚的，密集的，稠密的
depth	n.深，深度，深奥，深刻
devil	n.魔鬼
diary	n.日记，日记簿
dirty	a.弄脏的：下流的v.弄脏，玷污
ditch	n.沟，沟渠，水沟
dizzy	a.头晕目眩的，眩晕的：（可能）使人头晕的
doubt	n.／v.怀疑，疑虑
dozen	n.一打，十二个
draft	n.草稿，草案，草图 v.起草，草拟
drain	n.排水沟，阴沟；消耗，负担v.排去，放干
drama	n.剧本，戏剧：戏剧性事件或场面
dread	v.／n.恐惧，担心
dream	n.／v.梦，梦想，幻想
dress	n.服装，童装，女装v.穿衣，打扮
drift	v.／n.漂，漂流（物）
drill	v.练习：操练；钻孔 n.操练；练习：钻孔（机）
drink	v.（drank，drunk）喝，饮 n.饮料：喝酒
drive	v.开（车）；驱；驱动，把（钉，桩）打入n.驾驶
drown	v.溺死，淹没
drunk	a.醉酒的：（喻）陶醉的n.酗酒者，醉汉
dwarf	n.矮子，侏儒，矮小的动植物 vt.使···矮小
dwell	v.住，居留
eager	a.（for）渴望的，热切的
eagle	n.鹰
early	a.早的，早期的，及早的ad.早，在初期
earth	m.地球：陆地：泥土，土壤：尘世，人间
eight	mum.八 pron.八（个，只...）
eject	v.喷射，排出：驱逐
elbow	n.肘，（衣服的）肘部vt.用肘推，用肘挤
elder	a.年长的，资格老的n.长辈
elect	v.选举，推选：选择，作出选择
elite	n.法＞［集合名词］精华；精锐：中坚分子
embed	vt.把··嵌（埋、插）入，扎牢：使深留脑中
empty	a.空的；空洞的v.倒空，使成为空的
endow	vt.资助，捐赠：（with）给予，赋予
enemy	n.敌人，仇敌，反对者：敌人，敌军，敌国
enjoy	vt.享受···的乐趣：欣赏；喜爱
enter	vt.进入；参加，加入：写入vi.进去，进来
entry	n.进入，入口；通道；记载，条目
epoch	n.新纪元：时代：时期；【地质】世，纪，期
equal	a.相等的：胜任的n.相等的事务；对手v.等于
equip	v.（with）装备，配备；训练
erase	v.擦掉：删去；消磁
erect	v.树立，建立，使竖立a.直立的，垂直的
error	n.错误，过失
erupt	v.（尤指火山）爆发
essay	n.文章，短文
evade	vt.逃避，回避：避开，躲避
event	n.事件，事情
every	a.每一个的，每个的；每隔···的；全部的
evoke	vt.唤起（回忆、感情等）；引起
exact	a.确切的，正确的，精确的
excel	vi.胜过其他：擅长 vt.胜过，优于
exert	v.尽（力），施加（压力等），努力
exile	n.流放：被流放者 vt.流放，放逐，把···充军
exist	v.存在：生存；生活
expel	v.把···开除；驱逐；排出：发射
extra	a.额外的，附加的n.附加物，额外的东西
fable	n.寓言
faint	a.微弱的；不明显的：暗淡的 n.／v.昏倒：昏晕
fairy	a.幻想中的；虚构的；优雅的n.仙女：精灵
faith	n.信任，信用：信仰，信条
FALSE	a.谬误的，虚伪的，伪造的，假的
fancy	n.爱好，迷恋v.想象，幻想a.花式的，奇特的
fatal	a.致命的，毁灭性的
fault	n.过失，过错；缺点，毛病
favor	n.（favour）好感：喜爱；关切 v.赞成，支持，偏爱
feast	n.节日：宴会
fence	n.篱笆：围栏；剑术v.用篱笆瓦围住：击剑
ferry	n.摆渡：渡船；渡口 v.摆渡：渡运（人，车或物等）
fetch	v.取来：接来：引出；售得；吸引 n.取得：拿
fever	n.发热，狂热
fiber	n.（fibre）纤维；构造：纤维制品
field	n.田野；运动场：（电或磁）场：领域，范围
fifty	num.五十，五十个
fight	v.／n.打（仗），搏斗，斗争，战斗
final	a.最终的，决定性的n.结局：决赛；期末考试
first	a.／ad.第一：最初：首次 n.开始 pron.第一名
flame	n.火焰，火苗；热情；光辉v.发火焰，燃烧
flare	v.／n.闪耀，闪烁
flash	n.／a.闪光（的）v.发闪光，闪亮：闪现
fleet	n.舰队，船队
flesh	n.肉，肌肉
fling	v.（用力地）扔，抛，丢
float	n.飘浮：漂流物 v.浮动：漂浮：传播：动摇
flock	n.（一）群，（禽，畜等的）群：大量v.群集，成群
flood	n.洪水，水灾v.淹没，发大水，泛滥
floor	n.地板，（楼房）的层
flour	n.面粉
fluid	a.流动的，液体的n.流体，液体
flush	n.脸红 v.发红：奔流 a.洋溢的；富裕的：齐平的
focus	n.焦点。（活动，兴趣等的）中心v.（on）使聚集
force	n.力量，力；势力；（pl.）（总称）军队v.强迫
forge	v.锻造，伪造n.锻工车间；锻炉
forth	ad.向前：向外，往外
forty	num.／a.四十 pron.四十（个，只...）
forum	n.论坛，讨论会
found	vt.建立；创立：创办；使有根据；铸造：熔制
frame	n.框架：体格：骨架；组织；机构 v.设计：制定
frank	a.坦白的，直率的
fraud	n.欺诈，诈骗：欺骗（行为）；骗子：假货
fresh	a.新鲜的，无经验的
front	a.前面的，前部的n.正面：前线，战线v.面对
frost	n.霜，霜冻，严寒
frown	v.皱眉
fruit	n.水果，果实：成果，效果
funny	a.滑稽的，可笑的
gauge	n.标准尺寸；规格：量规，量表v.测量
ghost	n.鬼魂，幽灵
giant	n.巨人a.巨大的
glare	vi.怒目而视：发射强光 n.强光：怒视：炫耀
glass	n.玻璃：玻璃杯；镜子：（pl.）眼镜
glide	n.／v.溜，滑行：（时间）消逝
globe	n.球体，地球仪：地球，世界
glory	n.光荣，荣誉
glove	n.手套
goods	n.（pl.）货物，商品
goose	n.（pl.geese）鹅，维鹅，鹅肉
grace	n.优美，文雅；恩惠，思泽；宽限，缓刑；感恩祷告
grade	n.等级，级别：年级；分数 v.分等，分级
grain	n.谷物，谷类：颗粒，细粒
grand	a.盛大的，豪华的：重大的，主要的
grant	v.同意，准予：授予 n.授予物：津贴：转让证书
grape	n.葡萄
graph	n.图表，曲线图
grasp	v.／n.抓住，抓紧：掌握，领会
grass	n.草，草地
grave	n.坟墓a.严肃的，庄重的
graze	vi.吃青草 vt.放牧：擦伤：掠过，n.擦伤（处）
great	a.伟大的：重要的：大量的：很好的：美好的
green	a.绿色的：生的；未成熟的 n.绿色；蔬菜：植物
greet	v.致敬，敬意，迎接：扑（鼻），入（耳），触（目）
grief	n.悲伤，悲痛：悲伤的事，悲痛的缘由
grind	v.磨（碎），碾（碎）
groan	v.／n.呻吟
grope	n.／v.摸索，探索
gross	a.总的，毛（重）的；粗鲁的，粗俗的n.总额
group	n.群，组v.分组
guard	v.／n.保卫，守卫，提防n.哨兵，警卫，看守
guess	v.／n.猜测，推测：以为：猜想［同］surmise
guest	n.客人，宾客，旅客
guide	n.领路人：指南，导游 v.领路：指导：支配：管理
guilt	n.罪过，内疚
habit	n.习惯，习性，脾性
handy	a.手边的，近便的；方便的
happy	a.快乐的，幸福的：乐意的：令人满意的
harsh	a.粗糙的：（声音）刺耳的：苛刻的，严酷的
haste	n.匆忙，急速；草率 v.赶快；匆忙
hasty	a.匆忙的，仓促的：草率的
hatch	v.孵，孵出：策划，图谋 n.舱口，小门
heart	n.心（脏）；内心，感情；热忱；中心，要点
heave	v.（用力）举，提，拉：扔：拖：呕吐 n.举起
heavy	a.重的，重型的：沉重的，大量的，猛烈的
hedge	n.篱笆，树篱，障碍物v.用树篱围住
hello	int.英（美）喂，你好（用来打招呼或引起注意）
hence	ad.从此，今后：因此
hinge	n.合页，铰链vi.依···而定
hobby	n.业余爱好，嗜好，兴趣
hoist	v.举起，升起，吊起
honey	n.蜜，蜂蜜
honor	n.（honour）尊敬，敬意：荣誉，光荣v.尊敬
horse	n.马：跳马，鞍马v.骑马
hotel	n.旅馆
hound	n.猎狗：卑鄙的人vt.用猎狗追，追逐
house	n.房屋；商业机构；［H-］议院 v.给...房子住
hover	vi.（鸟）盘旋，翱翔，（人）逗留在附近徘徊
human	a.人的，人类的n.人
humid	a.湿的，湿气重的
Latin	a.拉丁的，拉丁文的n.拉丁语
laugh	v.笑：（on）讥笑 n.笑，笑声
layer	n.层，层次：铺设者
learn	v.学习，学，学会：（of，about）听到，获悉
lease	vt.出租，租用 n.租借，租期，租赁物
least	a.最小的：最少的 ad.最小：最少
leave	v.离开；留下，忘带；让，听任：交付 n.许可；假期
legal	a.法律的，法定的：合法的，正当的
lemon	n.柠檬
level	n.水平，水准，等级v.弄平，铺平a.水平的
lever	n.杆，杠杆，手段，途径，工具
light	n.光：灯v.点燃：照亮a.轻（快）：淡：明亮
limit	n.界限，限度，范围v.（to）限制，限定
linen	n.亚麻布，亚麻布制品
liner	n.班机，定期轮船，邮船
litre	n.（liter）升：公升（容量单位）
liver	n.肝，肝脏
lobby	n.门廊，门厅，（会议）休息厅
local	a.地方的，当地的；局部的
lodge	v.临时住宿，寄宿，寄存，容纳 n.传达室，小旅馆
lofty	a.崇高的，高尚的：高傲的：极高的
logic	n.逻辑，逻辑学
loose	a.（宽）松的：不精确的：自由的，散漫的
lorry	n.卡车，运货汽车
lover	n.爱好者：（pl.）情侣
lower	a.较低的，下级的，下游的v.降下，放低
loyal	a.（to）忠诚的，忠贞的
lucky	a.幸运的，侥幸的
lunar	a.月亮的
lunch	n.午餐，（美）便餐
magic	n.魔术，魔（魅）力，巫术a.有魔力的，魔术的
major	a.主要的n.成年人，专业学生，主修课程v.主修
march	v.（使）行军，（使）行进n.行军，行程
March	n.三月（略作 Mar.）
marry	v.结婚，嫁，娶
match	n.火柴：比赛，竞赛；对手，配偶v.匹配，相称
maths	n.（mathematics／math）数学
maybe	adv.可能；大概：也许
mayor	n.市长
means	n.方法，手段
medal	n.奖章，勋章，纪念章
melon	n.甜瓜
mercy	n.仁慈，怜悯，宽恕
merge	v.（使）结合，（使）合并，（使）合为一体
merit	n.优点，价值，功绩v.值得，应得
merry	a.欢乐的，愉快的
metal	n.金属，金属制品
metre	n.（meter）米，公尺；仪表，计量器
midst	n.中间，当中
might	v.可能，也许n.力量，威力，权力
minor	a.较小的，较小的n.兼修学科v.（in）兼修
minus	a.负的，减的prep.减去n.负号，减号
model	n.样式，型；模范；模型，原型；模特 v.模仿
moist	a.潮湿的，湿润的，多雨的
money	n.货币，钱
month	n.月，月份
moral	a.道德（上）的，精神上的n.寓意，教育意义
motel	n.（附有停车场的）汽车旅馆
motor	n.发动机，电动机
mould	n.（mold）模子，铸型v.浇铸，造型，塑造
mount	v.登上；安装n.支架，底板；（用于山名前）山峰
mourn	v.哀悼，忧伤
mouse	n.（pl.mice）鼠，耗子
mouth	n.口，嘴
movie	n.电影，电影院
music	n.音乐，乐曲，乐谱
naive	a.天真的
naked	a.裸体的，无遮敝的，无掩饰的
nasty	a.肮脏的，卑劣的，下流的；令人厌恶的
naval	n.海军的，军舰的
Negro	n.黑人a.黑人的
nerve	n.神经：勇敢，胆量
never	ad.永不，从不，决不：从来没有：不，没有
niece	n.侄女，甥女
night	n.夜间：夜：晚（上）
noble	a.高尚的；贵族的，高贵的n.贵族
noise	n.喧闹声，噪声，吵嚷声
noisy	a.吵闹的，喧闹的
north	n.北，北方a.北方的，北部ad.向北方，在北方
novel	n.（长篇）小说 a.新奇的，新颖的
nurse	n.护士，保姆v.护理，看护
nylon	n.尼龙
occur	v.发生，出现；存在；想起，想到
ocean	n.海洋
offer	v.提供，提议，出现n.出价，提议，意图
often	ad.常常，经常，通常
onion	n.洋葱
opera	n.歌剧
orbit	n.轨道v.（使）沿轨道行
order	n.命令：次序；整齐：定货单；等级v.定制，订购
organ	n.器官：机构，机关：风琴
other	a.另外的，其他的n.／pron.另一个人（或事）
ought	aux.应该（使用时，之后应接 to，再接动词原形）
ounce	n.盎司，英两
outer	a.外部的，外面的，外层的
owing	a.欠的，未付的
owner	n.物主，所有者
oxide	n.［化］氧化物
ozone	n.臭氧：（海岸等的）新鲜空气
paint	n.油漆，颜料 v.油漆；涂，涂漆；画；描绘，描述
panda	n.熊猫
panel	n.面，板：控制板，仪表盘：专门小组
panic	n.／a.恐慌（的），惊慌（的）vt.使惊慌，使害怕
pants	n.裤子，短裤
paper	n.纸：纸制品：报纸：（pl）文件：试卷：论文
party	n.聚会，政党，当事人 v.举行（参加）社交聚会
paste	n.糊，浆糊v.粘，贴
patch	n.补丁，斑点，碎片小块v.补，修补，掩饰
pause	v.／n.中止，暂停
peace	n.和平；平静，安宁
peach	n.桃，桃树
pearl	n.珍珠
pedal	n.踏板 v.踩踏板，骑自行车
penny	n.便士，美分
petty	a.小（器、规模）的，不重要的，细微的，卑鄙的
phase	n.阶段，状态，时期：相，相位
phone	n.（telephone）电话，电话机，耳机v.打电话
photo	n.（photograph）照片
piano	n.钢琴
piece	n.（一）件／片／篇；碎片 v.（together）拼合，拼凑
pilot	n.飞行员：领港员v.驾驶（飞机等）：领航，引水
pinch	v.捏.掐，拧：收缩；紧急关头：匮乏；压力
pitch	n.沥青：掷v.用沥青覆盖；投掷，扔
place	n.地方：名次；地位：寓所 v.安排；放置；投（资）
plain	a.明白的：朴素的；坦率；平凡 n.平原，旷野
plane	n.飞机；平面，水平面
plant	n.植物，作物：工厂；装置v.栽种，播种，栽培
plate	n.金属板，片：盘子，盆子；板，钢板v.镀，电镀
plead	v.恳求，请求：为···辩护；提出···为理由
point	n.尖：点；条款；分数，得分：论点v.（at，to）指
polar	a.两极的，极地的，南辕北辙的n.极线，极面
porch	n.门廊，入口处
pound	n.磅：英镑 v.（连续）猛击。（猛烈）敲打，捣碎
power	n.力，精力：功率，电力：（数学）幂：权力，势力
press	v.压：压榨；紧迫，催促n.报刊，通讯社；压榨机
price	n.价格，价钱：代价v.标价
prick	n.／v.刺伤，刺痛，刺孔
pride	n.自豪；自满：引以自豪的东西v.使自豪
prime	a.首要的：最好的，第一流的n.青春，全盛期
print	n.印刷，印刷品，字体v.印刷，出版；洗印
prior	a.优先的，在前的：（to）在···之前
prize	n.奖赏，奖金，奖品v.珍视，珍惜
probe	n.探针，探测器v.（以探针等）探查，穿刺，查究
prone	a.倾向于，俯伏的，倾斜的，陡的
proof	n.证据，证明：校样，样张
prose	n.散文 a.散文的
proud	a.（of）自豪的；引以自豪的；妄自尊大的
prove	v.证明，证实：检验；考验；鉴定；结果是，表明是
pulse	n.脉搏，脉冲
punch	n.冲压机，冲床；穿孔机 v.冲压，穿孔
pupil	n.学生，小学生；瞳孔
purse	n.钱包
quart	n.夸脱
queen	n.女王，皇后，王后
queer	a.奇怪的，古怪的
quest	n.探寻，探求：寻求，追求
queue	n.行列，长队v.（up）排队，排队等待
quick	a.快的；灵敏的，伶俐的：敏锐的ad.快，迅速地
quiet	a.安静的，平静的n.安静v.使安静，平静
quilt	n.被子
quite	ad.十分，完全；相当，颇：的确，真正
quota	n.（生产、进出口等的）配额，（移民的）限额
quote	v.引用，援引
radar	n.雷达
radio	n.收音机：无线电报，无线电话 v.无线电通讯
raise	v.举起，提升：增加；饲养；引起；竖起；提出
rally	v.重整，恢复，振作 n.聚集，集会，拉力赛
range	n.范围，领域；排列，连续；（山）脉 v.排列成行
rapid	a.快，急速的n.（pl.）急流，湍滩
ratio	n.比，比率
razor	n.剃刀
reach	v.抵达；（out）伸手，够到n.能达到的范围
react	v.反应，起作用：（against）反对，起反作用
ready	a.（for）准备好的，现成的；甘心的
realm	n.王国，国土；领域
rebel	v.反抗，反叛，起义n.叛逆者，起义者
recur	v.（尤指不好的事）一再发生；重现
refer	v.参考，查询；提到，引用，涉及；提交，上呈
reign	n.／v.统治，支配，盛行 n.统治时期 v.占优势
relax	v.（使）松驰，放松
relay	v.中继，转播，接力 n.接替人员，替班
renew	v.（使）更新，恢复，重新开始，继续
repay	v.偿还，报答
repel	v.击退，抵制，使厌恶，使不愉快
reply	v.／n.（to）回答，答复，以···作答
ridge	n.岭，山脉；屋脊：鼻梁
rifle	n.步枪
right	a.右的，正确的n.右，权利ad.在右边，正确地
rigid	a.刚性的；刻板的；严厉的
rival	n.竞争者，对手v.竞争，对抗a.竞争的
river	n.河流
roast	v.烤，炙，烘
robot	n.机器人，自动机械
rough	a.粗糙的：粗略的，大致的：粗野的，粗暴的
round	a.圆的 prep.围绕ad.在周围v.绕行n.（一）回合
rouse	vt.／vi.唤醒，唤起；激励；激起
route	n.路线，路程
royal	a.王室的，皇家的；第一流的，高贵的
ruler	n.统治者，支配者：尺，直尺
rumor	n.（rumour）传闻，谣言
rural	a.乡下的，田园的，乡村风味的
saint	n.圣人，基督教徒：（S-或St.用于人，地名前）圣
salad	n.色拉，凉拌菜
sauce	n.酱汁，调味汁
scale	n.刻度：天平，磅秤；比例尺；规模；音阶；鱼鳞
scare	n.惊恐，恐慌 v.惊吓，受惊
scarf	n.围巾，头巾，领巾，领带
scene	n.景色，景象，舞台：（戏）一场
scent	n.气味，香味，香水，线索，嗅觉v.嗅，发觉
scold	v.责骂，训斥
scope	n.（活动）范围：机会，余地
score	n.得分，分数：二十v.得（分），记（···的）分数
scorn	v.／n.轻蔑，藐视
scout	n.侦察员，侦察机（舰）v.搜索，侦察
scrap	n.碎片：废料 v.废弃，报废
screw	n.螺旋，螺丝（钉）v.拧，拧紧
seize	v.抓住，逮住；夺取，占领；没收，查封
sense	n.感官：感觉；判断力；意义v.觉得，意识到
serve	v.服务，尽责；招待，侍候；符合，适用
seven	num.七，七个（人或物）
shade	n.荫，阴影；遮光物，罩v.遮蔽，遮光
shady	a.成荫的，多荫的；可疑的，靠不住的
shaft	n.轴；杆状物
shake	n.／v.摇动，摇：颤抖，震动
shall	aux.v.（我，我们）将要，会：必须，应该
shame	n.羞耻，耻辱；可耻的人（或事物）v.使羞愧
shape	n.形状，外形；情况，状态；种类v.成型，塑造
share	v.（with）分配，共用：分担n.一份，份额：股份
shark	n.鲨鱼
sharp	a.锋利的；轮廓分明的；急转的ad.（指时刻）正
shave	v.剃，刮，刨，削n.刮脸
shear	v.剪，修剪
sheep	n.（绵）羊：易受人摆布的人
sheer	a.纯粹的，十足的，全然的；陡峭的，险峻的
sheet	n.被单：（一）张，（一）片，薄片：大片
shelf	n.架子，搁板
shell	n.壳，贝壳：炮弹
shift	v.替换，转移 n.转换，转变；（轮）班，（换）班
shine	v.照耀，发光；擦亮 n.光泽，光
shirt	n.衬衫
shock	n.震动；电击，触电；休克v.（使）震动／震惊
shoot	v.发射；掠过，疾驰而过n.嫩枝，苗，射击
shore	n.海滨，湖滨
short	a.短的，矮的；（of）缺乏，不足n.（pl.）短裤
shout	v.大声叫，喊，呼出n.呼喊，叫
shove	vt.乱推：乱塞vi.用力推，挤n.猛推
shrug	vt.／n.耸肩（表示冷淡、怀疑、无奈、不满等）
siege	n.包围，围攻，围困
sight	n.视力；望见，瞥见；视域；眼界；情景，奇观
silly	a.傻的，糊涂的，愚蠢的
since	prep.自从conj.自从：因为，既然 ad.后来
siren	n.警报声，警报器
skate	v.溜冰，滑冰 n.冰鞋
skill	n.技能，技巧，手艺；熟练
skirt	n.裙子：边缘，郊区
skull	n.头盖骨，颅骨
slack	a.懈怠的，松驰的；萧条的 n.淡季：（pl.）便裤
slave	n.奴隶，苦工v.做苦工，拼命地干
sleep	v.（slept，slept）睡n.睡眠
slice	n.薄片，切片；一份：部分切（片）
slide	v.（使）滑动 n.滑坡，滑道；滑，滑动；幻灯片
slope	n.斜坡，斜面：倾斜，斜度 v.（使）倾斜
small	a.小的；年幼的：不重要的；小规模（经营）的
smart	a.漂亮的：聪明的：巧妙的v.剧痛，刺疼
smash	v.／n.打碎，粉碎
smell	n.气味；嗅觉 v.嗅，闻到：散发（···的）气味
smile	n.微笑，笑容vi.微笑，露出笑容
smoke	n.烟，烟尘；吸烟，抽烟 v.抽（烟）；冒烟，冒气
snack	n.快餐，小吃，点心
snake	n.蛇
sneak	vi.偷偷地走，溜vt.偷偷地做（或拿、吃）
sniff	vi.嗅···味道：抽鼻涕：对嗤之以鼻，蔑视
sober	a.清醒的：认真的，冷静的，适度的
solar	a.太阳的，日光的
solid	a.固体的：结实的，稳固的，可靠的n.固体
solve	v.解决，解答
sorry	a.对不起，抱歉的：难过，悔恨的：使人伤心
sound	n.声音v.发声，响a.健全的，完好的；正当的
south	n.南，南方，南部a.南方的，南部的
space	n.间隔：空地，余地；空间 v.留间隔，隔开
spade	n.铁锹，铲子
spare	a.多余的，备用的v.节约，节省；抽出（时间）
spark	n.火花，火星v.发火花，发电花
speak	v.说话，讲话：演说，发言：（in）说某种语言
spear	n.矛，枪
speed	n.速度，快v.迅速，前进，急行；加速，使加速
spell	v.拼写
spend	v.花费：消耗，用尽；度过，消磨
spicy	a.加很多香料的：（口味）浓郁的
spill	v.溢出，溅出n.捧下，跌下
spine	n.脊柱，脊椎：（动植物的）刺：书脊
spite	n.恶意；怨恨
split	v.裂开，劈开；分裂，分离n.分化，分裂，裂口
spoil	v.损坏，搞错：宠坏，溺爱
spoon	n.匙，调羹
sport	n.（体育）运动（pl.）运动会vi.开玩笑：玩耍
spray	n.喷雾，飞沫，浪花，水花v.喷，喷射
stack	n.堆，一堆v.堆积，堆起
staff	n.全体职工：杠，棒；参谋部v.配备工作人员
stage	n.舞台，戏剧；阶段，时期
stain	n.污点，瑕疵 v.沾污；染色
stair	n.（pl.）楼梯
stake	n.桩，标桩；赌注，利害关系
stale	n.变质的，不新鲜的：陈旧的，陈腐的
stalk	n.茎，梗vt.悄悄地跟踪 vi.高视阔步地走
stall	n.货摊：畜栏，既v.（使）停转，（使）停止
stamp	n.邮票；印：跺脚；标志 v.跺脚，顿足；盖章
stand	vi.站立：位于：经受 n.台，座：货摊：立场
stare	v.（at）町，凝视
start	v.开始：动身；吃惊；开办，开动 n.开端：惊起
state	n.状态，情况；国，州v.陈述，说明
steak	n.牛排：大块肉（或鱼）片
steal	v.偷，窃取；偷偷地做，巧取
steam	n.水汽，蒸汽，水蒸气 v.蒸发：蒸；用蒸汽开动
steel	n.钢
steep	a.陡峭的：险峻的：急剧升降的vt.浸泡，沉浸
steer	vt.驾驶，为··操舵；引导vi.驾驶
stern	a.严厉的；坚决的，坚定的n.船尾，舟尾
stick	n.棍，棒，手杖v.刺，戳，扎：粘贴
stiff	a.硬的，僵直的；拘谨的；呆板的；艰难的
still	a.静止的，寂静的ad.还，仍然：更：安静地
sting	v.／n.刺，刺痛，剧痛：刺，叮
stock	n.备料，库存，现货：股票，公债v.储存
stone	n.石，石头：岩石，矿石：（水果的）核、子
stool	n.凳子：（pl.）大便
stoop	v.弯腰，俯身n.弯腰，曲背
store	n.商店，店铺：贮藏，贮备品v.贮藏，贮备
storm	n.暴风雨，暴风雪：激动，爆发 v.猛攻，直捣
story	n.故事，传说，小说：（＝storey）楼层
stove	n.炉子，火炉
strap	n.皮带，带子v.用带扣住，束率：用绷带包扎
straw	n.稻草，麦杆；吸管
strip	v.剥，剥去n.窄条，条纹
study	vt.学习：研究：细看vi.读书 n.学习：研究
stuff	n.原料，材料，东西v.填满，塞满
style	n.风格，文体：式样，时式，类型
sugar	n.糖，食糖vt.加糖于
suite	n.套间：一套家具：套，组，系列
super	a.极好的,超级的
surge	vi.汹涌：彭湃：蜂拥而至 n.巨浪：汹涌；彭湃
swamp	n.沼泽：湿地 vt.浸没：使···应接不暇
swarm	n.蜂群；一大群 vi.涌往；挤满；云集；成群移动
swear	v.（at）诅咒，骂人：宣誓，发誓
sweat	n.汗v.（使）出汗
sweep	v.扫，打扫：席卷，冲光：扫过，掠过
sweet	a.甜的：可爱的，美好的n.（常pl.）糖果；甜食
swell	n.／v.肿胀；膨胀；增大；增加；
swift	a.／ad.快的（地）：敏捷的（地）a.立刻的n.雨燕
